"id_text","id_line","label","lemma","base","skip","entry"
"P253245",19,"o 15","ŋirigub[footstool]N","{ŋeš}ŋiri₃-gub",0,"ŋirigub[footstool]N"
"P370399",63,"o iii 2'","guza[chair]N šagkal[tree]N","{ŋeš}gu-za šag₄-kal",0,"guza[chair]N_šagkal[tree]N"
"P247864",299,"o v 47","{ŋeš}a[NA]NA x-x[NA]NA ma[ship]N","{ŋeš}a x-x ma₂",0,"{ŋeš}a[NA]NA_x-x[NA]NA_ma[ship]N"
"Q000039",93,"75","ŋešnimbar[palm]N guz[crush]V/i","{ŋeš}ŋešnimbar al-kum-ma₃",0,"ŋešnimbar[palm]N_guz[crush]V/i"
"P250736",11,"o i 7","šuʾa[stool]N","{gi}šu₂-a",0,"šuʾa[stool]N"
"P253230",5,"o i 1","apin[plow]N šu[hand]N","{ŋeš}apin šu",0,"apin[plow]N_šu[hand]N"
"P346714",80,"r iii 02'","ŋešellag[tool]N","ŋeš-ellag",0,"ŋešellag[tool]N"
"P429503",57,"o ii 26","manu[wood]N muran[tree]N","{ŋeš}ma-nu mur-na",0,"manu[wood]N_muran[tree]N"
"P447996",73,"o iv 42","peš[fig]N šergu[string]N","{ŋeš}peš₃ še-er-kum",0,"peš[fig]N_šergu[string]N"
"P271301",191,"o iv 25","kita[basket]N ŋešnimbar[palm]N","{ŋeš}ŋa₂-da ŋešnimbar",0,"kita[basket]N_ŋešnimbar[palm]N"
"P247864",287,"o v 35","{ŋeš}x-x[NA]NA","{ŋeš}x-x",0,"{ŋeš}x-x[NA]NA"
"P271911",506,"r iii 39","x[NA]NA x-|URU×GU|-ga[NA]NA","x x-|URU×GU|-ga",0,"x[NA]NA_x-|URU×GU|-ga[NA]NA"
"P273880",380,"b iv 47","kakaku[profession]N","{ŋeš}kak-a-ku₅",0,"kakaku[profession]N"
"Q000001",139,"139","maš[goat]N gabaria[offering]N","maš₂ gaba-ri-a",0,"maš[goat]N_gabaria[offering]N"
"P332934",120,"o ii 37","mes[tree]N halub[tree]N harran[route]N","{ŋeš}mes ha-lu-ub₂ har-ra-an",0,"mes[tree]N_halub[tree]N_harran[route]N"
"P459217",176,"r iv 10","guza[chair]N mes[tree]N","{ŋeš}gu-za {ŋeš}mes",0,"guza[chair]N_mes[tree]N"
"P250736",52,"unknown","unknown","unknown",3,"unknown"
"P271301",449,"r iv 30","gag[nail]N umbin[nail]N gigir[chariot]N","{ŋeš}gag umbin gigir",0,"gag[nail]N_umbin[nail]N_gigir[chariot]N"
"P273880",14,"a i 10'","x-x[NA]NA","x-x",0,"x-x[NA]NA"
"Q000039",466,"417","ašita[equipment]N tug[textile]N","{ŋeš}a₂-šu-du₇ tug₂",0,"ašita[equipment]N_tug[textile]N"
"Q000039",242,"206","šuʾa[stool]N nagar[carpenter]N","{ŋeš}šu₂-a nagar",0,"šuʾa[stool]N_nagar[carpenter]N"
"P388265",360,"r v 50","{ŋeš}MAŠ-U[NA]NA","{ŋeš}MAŠ-U",0,"{ŋeš}MAŠ-U[NA]NA"
"P459216",65,"iii 4","suhur[tuft]N ŋešnimbar[palm]N","{ŋeš}suhur ŋešnimbar",0,"suhur[tuft]N_ŋešnimbar[palm]N"
"P253233",55,"r ii 5'","{ŋeš}x[NA]NA","{ŋeš}x",0,"{ŋeš}x[NA]NA"
"P271911",34,"unknown","unknown","unknown",1,"unknown"
"P332934",148,"o ii 64","ŋešnimbar[palm]N x[NA]NA","{ŋeš}ŋešnimbar x",0,"ŋešnimbar[palm]N_x[NA]NA"
"P228196",18,"18","ebir[vessel-stand]N gub[stand]V/i","{ŋeš}ebir gub",0,"ebir[vessel-stand]N_gub[stand]V/i"
"P271771",10,"o ii 8","{ŋeš}|X.X.X|[NA]NA usuh[tree]N","{ŋeš}|X.X.X| u₃-suh₅",0,"{ŋeš}|X.X.X|[NA]NA_usuh[tree]N"
