"id_text","id_line","label","lemma","base","skip","entry"
"P224980",4,"o i 1","gigir[chariot]N","{ŋeš}gigir",0,"gigir[chariot]N"
"P273244",8,"r 1","ig[door]N šag[heart]N sig[silent]N","{ŋeš}ig šag₄ sig₉",0,"ig[door]N_šag[heart]N_sig[silent]N"
"P388265",27,"unknown","unknown","unknown",2,"unknown"
"P332934",348,"r iv 5","gigir[chariot]N mete[appropriate-thing]N","{ŋeš}gigir me-te",0,"gigir[chariot]N_mete[appropriate-thing]N"
"Q000001",335,"335","uman[insect]N","umanₓ(|HI×AŠ₂|)",0,"uman[insect]N"
"Q000039",406,"361","saŋkul[bolt]N margida[cart]N","{ŋeš}saŋ-kul mar-gid₂-da",0,"saŋkul[bolt]N_margida[cart]N"
"P273880",18,"a i 15'","ŋeštinkaʾa[grape]N","{ŋeš}ŋeštin-ka₅-a",0,"ŋeštinkaʾa[grape]N"
"P437074",108,"b iii 12'","guza[chair]N kaskal[way]N","{ŋeš}gu-za kaskal",0,"guza[chair]N_kaskal[way]N"
"P273880",623,"c iv 57","ŋeškur[tree]N","ŋeš-kur",0,"ŋeškur[tree]N"
"P250736",93,"o iii 27","gurdub[basket]N x-x[NA]NA","{gi}gur-dub x-x",0,"gurdub[basket]N_x-x[NA]NA"
"P250364",62,"o iv 2","ŋešrin[scales]N lib-bi[NA]NA","ŋeš-rin₂ lib-bi",0,"ŋešrin[scales]N_lib-bi[NA]NA"
"P271911",233,"unknown","unknown","unknown",1,"unknown"
"P271301",20,"o i 17","ŋešgana[tree]N sissig[green]V/i","ŋeš-kin₂ sig",0,"ŋešgana[tree]N_sissig[green]V/i"
"P349171",10,"o ii 5'","ŋešnud[bed]N x[NA]NA","ŋeš-nud x",0,"ŋešnud[bed]N_x[NA]NA"
"P388265",328,"r v 13","u[sleep]N ku[place]V/t","{ŋeš}u₃ ku",0,"u[sleep]N_ku[place]V/t"
"P332934",155,"o ii 71","ŋešnimbar[palm]N al-x[NA]NA","{ŋeš}ŋešnimbar al-x",0,"ŋešnimbar[palm]N_al-x[NA]NA"
"P271771",95,"r i 1'","x[NA]NA guza[chair]N","x gu-za",0,"x[NA]NA_guza[chair]N"
"P447996",16,"o iii 12'","tulubum[tree]N","{ŋeš}dili-bu",0,"tulubum[tree]N"
"Q000001",95,"95","udu[sheep]N niŋdea[gift]N","udu niŋ₂-de₂-a",0,"udu[sheep]N_niŋdea[gift]N"
"Q000001",461,"459","uzu[flesh]N zilkum[~animal]N","uzu zi-il-kum",0,"uzu[flesh]N_zilkum[~animal]N"
"P250364",159,"r iii 25'","{ŋeš}še-gibil[NA]NA NI-a[NA]NA","{ŋeš}še-gibil NI-a",0,"{ŋeš}še-gibil[NA]NA_NI-a[NA]NA"
"P273880",679,"d ii 14'","{ŋeš}x[NA]NA sipad[shepherd]N","{ŋeš}x sipad",0,"{ŋeš}x[NA]NA_sipad[shepherd]N"
"Q000039",745,"674","kiri[nose]N gud[ox]N","{ŋeš}kiri₃ gud",0,"kiri[nose]N_gud[ox]N"
"Q000039",691,"623","ebir[vessel-stand]N kaš[beer]N","{ŋeš}ebir kaš",0,"ebir[vessel-stand]N_kaš[beer]N"
"P429503",102,"r i' 6'","{ŋeš}x[NA]NA","{ŋeš}x",0,"{ŋeš}x[NA]NA"
"P432448",17,"o 11'","ŋeštinkira[berry]N","{ŋeš}ŋeštin-kir₄",0,"ŋeštinkira[berry]N"
"P299509",3,"3","ŋešnud[bed]N kinud[bedroom]N","ŋeš-nud ki-nud",0,"ŋešnud[bed]N_kinud[bedroom]N"
"P347814",105,"unknown","unknown","unknown",1,"unknown"
"P249794",12,"unknown","unknown","unknown",999,"unknown"
"P271911",300,"unknown","unknown","unknown",1,"unknown"
"Q000039",755,"684","šaŋanla[trader]N","{ŋeš}šaŋan-la₂",0,"šaŋanla[trader]N"
"P271301",67,"o ii 15","ildag[poplar]N kur[mountain]N","{ŋeš}ildag₂ kur",0,"ildag[poplar]N_kur[mountain]N"
"Q000001",120,"120","u[ewe]N deg[collect]V/t","u₈ degₓ(RI)-degₓ(RI)",0,"u[ewe]N_deg[collect]V/t"
"P271911",268,"o iv 34","diš[one]NU giŋ[unit]N","diš giŋ₄",0,"diš[one]NU_giŋ[unit]N"
"P128345",2,"o 1","garig[comb]N siki[hair]N","{ŋeš}ga-rig₂ siki",0,"garig[comb]N_siki[hair]N"
"P273880",394,"b iv 62","gag[nail]N eškiri[rope]N","{ŋeš}gag eškiri₂",0,"gag[nail]N_eškiri[rope]N"
"P250364",129,"r ii 14'","dih[weed]N kur[mountain]N","{ŋeš}dih₃ kur",0,"dih[weed]N_kur[mountain]N"
"P271301",172,"o iv 6","{ŋeš}zi-x[NA]NA","{ŋeš}zi-x",0,"{ŋeš}zi-x[NA]NA"
"P332939",39,"unknown","unknown","unknown",999,"unknown"
"Q000001",203,"203","gud[ox]N ab[cow]N","gud ab₂",0,"gud[ox]N_ab[cow]N"
"P271301",230,"o v 3'","{ŋeš}x[NA]NA","{ŋeš}x",0,"{ŋeš}x[NA]NA"
"P388265",167,"r i 45","SUD[post-or-stake?]N","{ŋeš}SUD",0,"SUD[post-or-stake?]N"
"P228105",10,"o i 8'","igiŋal[sign]N","{ŋeš}igi-ŋal₂",0,"igiŋal[sign]N"
"Q000039",44,"37","ildag[poplar]N šitan[water-channel]N","{ŋeš}ildag₂ šita₃",0,"ildag[poplar]N_šitan[water-channel]N"
"P459216",164,"r iii 31'","te[~boat]N ma[ship]N","{ŋeš}te ma₂",0,"te[~boat]N_ma[ship]N"
"Q000039",684,"616","tigidlu[instrument]N Elam[1]GN","{ŋeš}tigidla elam-ma",0,"tigidlu[instrument]N_Elam[1]GN"
"P429503",121,"r i' 25'","ŋešgana[pestle]N","ŋeš-gan-na",0,"ŋešgana[pestle]N"
"P492330",13,"o i 11","{ŋeš}tir-ra-te[NA]NA","{ŋeš}tir-ra-te",0,"{ŋeš}tir-ra-te[NA]NA"
"P492330",36,"r i 6'","{ŋeš}saŋ-x[NA]NA","{ŋeš}saŋ-x",0,"{ŋeš}saŋ-x[NA]NA"
"X100003",26,"r 10","peš[fig]N","{ŋeš}peš₃",0,"peš[fig]N"
"Q000001",191,"191","gud[ox]N hunu[weak]V/i","gud hu-nu",0,"gud[ox]N_hunu[weak]V/i"
"P273880",223,"b ii 12","{ŋeš}x[NA]NA","{ŋeš}x",0,"{ŋeš}x[NA]NA"
"P332934",242,"o iv 13'","anta[tree]N","{ŋeš}an-ta",0,"anta[tree]N"
"Q000039",82,"64a","ŋeš[tree]N gibil[sprout]N","ŋeš gibil",0,"ŋeš[tree]N_gibil[sprout]N"
"P273880",303,"b iii 31","{ŋeš}x[NA]NA mar[shovel]N","{ŋeš}x mar",0,"{ŋeš}x[NA]NA_mar[shovel]N"
"P447996",126,"r i 8","ŋešnimbar[palm]N dar[split]V/t","{ŋeš}ŋešnimbar dar",0,"ŋešnimbar[palm]N_dar[split]V/t"
"P247864",235,"o iv 46","ig[door]N miriza[plank]N","{ŋeš}ig mi-ri₂-za",0,"ig[door]N_miriza[plank]N"
"P250736",47,"o ii 19","gi[reed]N sa[half]N gun[load]N","gi sa₉ gun₂",0,"gi[reed]N_sa[half]N_gun[load]N"
