"id_text","id_line","label","lemma","base","skip","entry"
"P229426",34,"r ii 8","ma[ship]N anta[upper]V/t","{ŋeš}ma₂ an-ta",0,"ma[ship]N_anta[upper]V/t"
"P437074",120,"b iii 6''","{ŋeš}x[NA]NA","{ŋeš}x",0,"{ŋeš}x[NA]NA"
"P247864",225,"o iv 36","saŋkul[bolt]N ig[door]N","{ŋeš}sag-gul ig",0,"saŋkul[bolt]N_ig[door]N"
"P271301",92,"o ii 40","tir[forest]N","{ŋeš}tir-tir",0,"tir[forest]N"
"P273880",278,"b iii 2","dilim[spoon]N banšur[table]N","{ŋeš}dilim₂ {ŋeš}banšurₓ(|URU×IGI.URUDA|)",0,"dilim[spoon]N_banšur[table]N"
"P332934",127,"o ii 44","zabalum[juniper]N","{ŋeš}za-ba-lum",0,"zabalum[juniper]N"
"P459217",145,"r ii 14'","sumungi[tool]N","{ŋeš}sumun-gi₄",0,"sumungi[tool]N"
"P128345",2,"o 1","garig[comb]N siki[hair]N","{ŋeš}ga-rig₂ siki",0,"garig[comb]N_siki[hair]N"
"P332930",34,"r 13","ma[ship]N u[ten]NU gur[unit]N","{ŋeš}ma₂ u gur",0,"ma[ship]N_u[ten]NU_gur[unit]N"
"X100003",22,"r 6","ŋeštin[vine]N igi[eye]N gud[ox]N","{ŋeš}ŋeštin igi gud",0,"ŋeštin[vine]N_igi[eye]N_gud[ox]N"
"P332934",76,"o i 20'","ildag[poplar]N kindar[hole]N","{ŋeš}ildag₂ kin-tur",0,"ildag[poplar]N_kindar[hole]N"
"Q000039",484,"433","sahargid[roller]N","{ŋeš}sahar-gid₂",0,"sahargid[roller]N"
"P253866",16,"o i 11'","{ŋeš}x-PAP[NA]NA","{ŋeš}x-PAP",0,"{ŋeš}x-PAP[NA]NA"
"P370399",176,"o v 30'","garig[comb]N","{ŋeš}ga-rig₂",0,"garig[comb]N"
"P346714",75,"r ii 43'","garig[comb]N x[NA]NA","{ŋeš}ga-rig₂ x",0,"garig[comb]N_x[NA]NA"
"P345549",4,"o 3","igi[eye]N umbin[wheel]N margida[cart]N","{ŋeš}igi umbin mar-gid₂-da",0,"igi[eye]N_umbin[wheel]N_margida[cart]N"
"P273880",581,"c iv 14","dim[post]N x[NA]NA","{ŋeš}dim x",0,"dim[post]N_x[NA]NA"
"P388265",290,"r iv 30","{ŋeš}šu-mi-x[NA]NA","{ŋeš}šu-mi-x",0,"{ŋeš}šu-mi-x[NA]NA"
"P271911",520,"r iii 50","šag[heart]N ninda[bull]N","šag₄ ninda₂",0,"šag[heart]N_ninda[bull]N"
"P247864",277,"o v 25","{ŋeš}x-bi[NA]NA","{ŋeš}x-bi",0,"{ŋeš}x-bi[NA]NA"
"P347814",155,"c i 10'","ninda[vessel]N","{ŋeš}ninda₂",0,"ninda[vessel]N"
"P249794",12,"unknown","unknown","unknown",999,"unknown"
"P247864",113,"o ii 50","{ŋeš}x[NA]NA x-ra[NA]NA","{ŋeš}x x-ra",0,"{ŋeš}x[NA]NA_x-ra[NA]NA"
"Q000001",227,"227","amar[young]N sah[playful]AJ","amar sah₄",0,"amar[young]N_sah[playful]AJ"
"Q000039",706,"637","murgu[shoulder]N gud.si.AŠ[ram]N","{ŋeš}murgu gud-si-AŠ",0,"murgu[shoulder]N_gud.si.AŠ[ram]N"
"P459217",126,"r i 13'","anta[tree]N","{ŋeš}an-ta",0,"anta[tree]N"
"Q000001",480,"477","uzu[flesh]N ellaŋgun[kidney]N šag[heart]N","uzu ellaŋ₂-gun₃ šag₄",0,"uzu[flesh]N_ellaŋgun[kidney]N_šag[heart]N"
"P388265",202,"r ii 29","ban[unit]N ban[unit]N","{ŋeš}ba-an ban₂",0,"ban[unit]N_ban[unit]N"
"P253230",36,"o ii 14","apin[plow]N tugsaga[plow]N","{ŋeš}apin dug₃-sig₁₈",0,"apin[plow]N_tugsaga[plow]N"
"P250364",175,"unknown","unknown","unknown",999,"unknown"
"P388265",373,"r vi 14","emerah[jug]N x[NA]NA","{ŋeš}emerah x",0,"emerah[jug]N_x[NA]NA"
"P388265",81,"iii 31","peš[fig]N","{ŋeš}peš₃",0,"peš[fig]N"
"P459217",139,"r ii 8'","{ŋeš}DU-x[NA]NA","{ŋeš}DU-x",0,"{ŋeš}DU-x[NA]NA"
"P235262",115,"d ii 20'","{ŋeš}x[NA]NA x[NA]NA","{ŋeš}x x",0,"{ŋeš}x[NA]NA_x[NA]NA"
"P273880",253,"b ii 46","ŋeš[tree]N u[ten]NU giŋ[unit]N","ŋeš u giŋ₄",0,"ŋeš[tree]N_u[ten]NU_giŋ[unit]N"
"P229426",27,"r ii 1","ma[ship]N ušu[thirty]NU gur[unit]N","{ŋeš}ma₂ ušu₃ gur",0,"ma[ship]N_ušu[thirty]NU_gur[unit]N"
"P388265",94,"iv 11","ŋešnimbar[palm]N suhuš[offshoot]N","{ŋeš}ŋešnimbar suhušₓ(TUR)",0,"ŋešnimbar[palm]N_suhuš[offshoot]N"
"P370399",84,"o iii 23'","kaŋeškarak[table]N x[NA]NA","{ŋeš}ka-ŋeš-kara₄ x",0,"kaŋeškarak[table]N_x[NA]NA"
"P271911",482,"r iii 21","tukul[weapon]N {ŋeš}x[NA]NA","tukul {ŋeš}x",0,"tukul[weapon]N_{ŋeš}x[NA]NA"
"P250364",87,"o v 8","sahir[net]N AN-gin₇[NA]NA","{ŋeš}sa-har AN-gin₇",0,"sahir[net]N_AN-gin₇[NA]NA"
"P271301",172,"o iv 6","{ŋeš}zi-x[NA]NA","{ŋeš}zi-x",0,"{ŋeš}zi-x[NA]NA"
"P332934",196,"o iii 32","ŋešnimbar[palm]N gurum[bend]V/t","{ŋeš}ŋešnimbar gurum",0,"ŋešnimbar[palm]N_gurum[bend]V/t"
"Q000001",441,"440","uzu[flesh]N šag[heart]N lugal[king]N tuku[acquire]V/t","uzu šag₄ lugal tuku",0,"uzu[flesh]N_šag[heart]N_lugal[king]N_tuku[acquire]V/t"
"P347814",204,"c ii 10","niŋ[thing]N min[two]NU sila[unit]N","{ŋeš}niŋ₂ min sila₃",0,"niŋ[thing]N_min[two]NU_sila[unit]N"
"P273880",644,"d i 24'","ŋešgu[stock]N","ŋeš-gu₂",0,"ŋešgu[stock]N"
"P247864",30,"o i 27","murdinum[bramble]N","{ŋeš}mur-di-nu-um",0,"murdinum[bramble]N"
"P459216",10,"i 8","šagkal[tree]N","{ŋeš}šag₄-kal",0,"šagkal[tree]N"
"P271301",261,"o v 34'","guza[chair]N kaskal[way]N","{ŋeš}gu-za kaskal",0,"guza[chair]N_kaskal[way]N"
"P247864",199,"o iv 10","gigir[chariot]N šu[hand]N du[suitable]V/i","{ŋeš}gigir šu du₇",0,"gigir[chariot]N_šu[hand]N_du[suitable]V/i"
"P271301",27,"o i 24","ŋeštinkaʾa[grape]N","{ŋeš}ŋeštin-ka₅-a",0,"ŋeštinkaʾa[grape]N"
"P447996",220,"r iii 21","antibal[sign]N ma[ship]N","{ŋeš}an-ti-bal ma₂",0,"antibal[sign]N_ma[ship]N"
"Q000039",60,"51a","mes[tree]N al₂[NA]NA","{ŋeš}mes al₂",0,"mes[tree]N_al₂[NA]NA"
"Q000039",276,"240","kaŋeškarak[table]N zu[tooth]N amsi[elephant]N sig[put]V/t","{ŋeš}ka-kara₄ zu₂ am-si sig₉",0,"kaŋeškarak[table]N_zu[tooth]N_amsi[elephant]N_sig[put]V/t"
"P370399",37,"o ii 10'","{ŋeš}TUG₂-x[NA]NA","{ŋeš}TUG₂-x",0,"{ŋeš}TUG₂-x[NA]NA"
"Q000039",699,"630","magaz[bench]N","{ŋeš}ma₂-gaz",0,"magaz[bench]N"
"P447996",209,"r iii 10","x-a[NA]NA","x-a",0,"x-a[NA]NA"
