"id_text","id_line","label","lemma","base","skip","entry"
"P271301",89,"o ii 37","manu[wood]N kalag[strong]V/i","{ŋeš}ma-nu kalag",0,"manu[wood]N_kalag[strong]V/i"
"P459216",37,"ii 5","manu[wood]N duru[wet]V/i","{ŋeš}ma-nu duru₅",0,"manu[wood]N_duru[wet]V/i"
"P429503",132,"r ii' 8'","adus[plank]N ma[ship]N","{ŋeš}ad-du₅ ma₂",0,"adus[plank]N_ma[ship]N"
"P346714",169,"r v 05'","mar[shovel]N še[barley]N","{ŋeš}mar še",0,"mar[shovel]N_še[barley]N"
"P370399",160,"o v 14'","{ŋeš}KAL[NA]NA","{ŋeš}KAL",0,"{ŋeš}KAL[NA]NA"
"P253866",32,"o i 27'","ig[door]N abula[gate]N","{ŋeš}ig abul",0,"ig[door]N_abula[gate]N"
"P235262",84,"d i 27'","gabar[herder]N","{ŋeš}ka-bar",0,"gabar[herder]N"
"P273880",230,"b ii 19","maštakda[wooden-object]N","{ŋeš}maš-tak-da",0,"maštakda[wooden-object]N"
"P273880",357,"b iv 20","sansanum[reed-object]N","{ŋeš}sa-an-sa₃-nu-um",0,"sansanum[reed-object]N"
"P250364",18,"o i 15","gag[nail]N x[NA]NA gigir[chariot]N","{ŋeš}gag x gigir",0,"gag[nail]N_x[NA]NA_gigir[chariot]N"
"P332934",254,"o iv 25'","uluh[sapling]N","{ŋeš}u₂-luh",0,"uluh[sapling]N"
"Q000039",57,"49","mes[tree]N","{ŋeš}mes",0,"mes[tree]N"
"P273880",40,"a ii 7'","gag[nail]N leʾum[board]N apin[plow]N","{ŋeš}gag li apin",0,"gag[nail]N_leʾum[board]N_apin[plow]N"
"P347814",85,"b i 10'","sala[~plow]N apin[plow]N","{ŋeš}sal apin",0,"sala[~plow]N_apin[plow]N"
"Q000001",154,"154","sila[lamb]N kiŋgia[~animal]N","sila₄ kiŋ₂-gi₄-a",0,"sila[lamb]N_kiŋgia[~animal]N"
"Q000001",220,"220","ab[cow]N si[horn]N ŋal[be]V/i","ab₂ si ŋal₂",0,"ab[cow]N_si[horn]N_ŋal[be]V/i"
"P271911",241,"o iv 12","dur[board]N","{+dur}dur₂",0,"dur[board]N"
"P370399",37,"o ii 10'","{ŋeš}TUG₂-x[NA]NA","{ŋeš}TUG₂-x",0,"{ŋeš}TUG₂-x[NA]NA"
"P271301",299,"r i 27","ŋešnud[bed]N","ŋeš-nud",0,"ŋešnud[bed]N"
"P251867",4,"o 3","Makarnuntaʾea[1]ON","{ŋeš}ma₂-kar-nam-nun-ta-e₃-a",0,"Makarnuntaʾea[1]ON"
"Q000039",715,"646","ŋisal[rudder]N šu[hand]N","{ŋeš}ŋisal šu",0,"ŋisal[rudder]N_šu[hand]N"
