"id_text","id_line","label","lemma","base","skip","entry"
"P388265",417,"unknown","unknown","unknown",2,"unknown"
"P235262",4,"unknown","unknown","unknown",10,"unknown"
"P388265",45,"ii 28","šennur[plum]N","{ŋeš}šennur",0,"šennur[plum]N"
"X100003",28,"r 12","peš[fig]N Subir[1]GN","{ŋeš}peš₃ su-bir{ki}",0,"peš[fig]N_Subir[1]GN"
"P388265",432,"t.e. iii 4","{ŋeš}x[NA]NA","{ŋeš}x",0,"{ŋeš}x[NA]NA"
"P429503",59,"o ii 28","x-x[NA]NA","x-x",0,"x-x[NA]NA"
"P273880",438,"c i 43","emesig[plank]N","{ŋeš}eme-sig",0,"emesig[plank]N"
"P388330",4,"o 3","hašhur[apple]N armanu[tree]N","{ŋeš}hašhur ar-wa-a-nu-um",0,"hašhur[apple]N_armanu[tree]N"
"P273880",557,"c iii 42","ugu[skull]N ŋešnimbar[palm]N","{ŋeš}ugu ŋešnimbar",0,"ugu[skull]N_ŋešnimbar[palm]N"
"P437074",84,"b ii 8''","niŋna[incense]N UD[NA]NA","{ŋeš}niŋ₂-na UD",0,"niŋna[incense]N_UD[NA]NA"
"P332934",232,"o iv 3'","{ŋeš}SIG₂-LAM-x[NA]NA","{ŋeš}SIG₂-LAM-x",0,"{ŋeš}SIG₂-LAM-x[NA]NA"
"P230849",7,"r 3","mes[tree]N asal[poplar]N","{ŋeš}mes asal₂",0,"mes[tree]N_asal[poplar]N"
"P250736",252,"r iii 13","epig[vessel]N udu[sheep]N","{dug}epig udu",0,"epig[vessel]N_udu[sheep]N"
"P247864",416,"o vii 35'","{ŋeš}gal-HI-LUM-x-HI[NA]NA","{ŋeš}gal-HI-LUM-x-HI",0,"{ŋeš}gal-HI-LUM-x-HI[NA]NA"
"P250736",100,"o iii 34","mansim[sieve]N dabin[semolina]N","{gi}ma-an-sim dabin",0,"mansim[sieve]N_dabin[semolina]N"
"P332934",27,"o i 23","tila[grapevine]N ŋeštin[vine]N","{ŋeš}illat ŋeštin",0,"tila[grapevine]N_ŋeštin[vine]N"
"P271911",126,"o ii 47","gur[rim]N balaŋdi[instrument]N","gur₂ balaŋ-di",0,"gur[rim]N_balaŋdi[instrument]N"
"P273880",490,"c ii 34","maʾaddir[ferryboat]N","{ŋeš}ma₂-addir",0,"maʾaddir[ferryboat]N"
"P250736",19,"o i 15","gi[reed]N niŋ[thing]N tur[small]V/i","gi niŋ₂ tur-tur",0,"gi[reed]N_niŋ[thing]N_tur[small]V/i"
"Q000039",213,"179","guza[chair]N Magan[1]GN","{ŋeš}gu-za ma₂-gan-na",0,"guza[chair]N_Magan[1]GN"
"P388265",337,"r v 22","zigan[rudder]N","{ŋeš}zi-gan",0,"zigan[rudder]N"
"P250736",131,"o iv 24","gi[reed]N tur[small]V/i","gi tur-tur",0,"gi[reed]N_tur[small]V/i"
"P228105",7,"o i 5'","namuzum[a-tool]N","{ŋeš}na-mu-zum",0,"namuzum[a-tool]N"
"P271771",139,"r iii 9'","si[horn]N ma[ship]N","{ŋeš}si ma₂",0,"si[horn]N_ma[ship]N"
"P447996",160,"r i 42","mud[stump]N ŋešnimbar[palm]N","{ŋeš}mud ŋešnimbar",0,"mud[stump]N_ŋešnimbar[palm]N"
"P273880",131,"a iv 28'","guza[chair]N nita[male]N","{ŋeš}gu-za nita₂",0,"guza[chair]N_nita[male]N"
"P247864",238,"o iv 49","ig[door]N maštab[twin]N","{ŋeš}ig maš-tab",0,"ig[door]N_maštab[twin]N"
"P247864",364,"o vi 48","dilim[spoon]N","{ŋeš}dilim₂",0,"dilim[spoon]N"
"P271911",508,"unknown","unknown","unknown",1,"unknown"
"P247864",20,"o i 17","ŋešgana[tree]N su[red]V/i","ŋeš-kin₂ su₁₃",0,"ŋešgana[tree]N_su[red]V/i"
"Q000039",118,"96","uluh[sapling]N ŋešnimbar[palm]N","{ŋeš}u₃-luh ŋešnimbar",0,"uluh[sapling]N_ŋešnimbar[palm]N"
"Q000039",213,"179","guza[chair]N Magan[1]GN","{ŋeš}gu-za ma₂-gan-na",0,"guza[chair]N_Magan[1]GN"
"P459216",157,"r iii 24'","ma[ship]N x[NA]NA","{ŋeš}ma₂ x",0,"ma[ship]N_x[NA]NA"
"P332934",147,"o ii 63","ŋešnimbar[palm]N","{ŋeš}ŋešnimbar",0,"ŋešnimbar[palm]N"
"P250364",165,"unknown","unknown","unknown",3,"unknown"
"P459216",174,"r iv 6'","gagsila[harness]N","{ŋeš}gag-sila₃",0,"gagsila[harness]N"
