"id_text","id_line","label","lemma","base","skip","entry"
"Q000039",735,"664","ŋeškur[tree]N","ŋeš-kur",0,"ŋeškur[tree]N"
"P347814",259,"d i 14'","si[horn]N","{ŋeš}si",0,"si[horn]N"
"P250361",7,"o 5'","guza[chair]N nita[male]N","{ŋeš}gu-za nita₂",0,"guza[chair]N_nita[male]N"
"P273880",164,"b i 7'","guza[chair]N x-x-x[NA]NA","{ŋeš}gu-za x-x-x",0,"guza[chair]N_x-x-x[NA]NA"
"Q000039",110,"88","dala[thorn]N ŋešnimbar[palm]N","{ŋeš}dala₂ ŋešnimbar",0,"dala[thorn]N_ŋešnimbar[palm]N"
"P346714",55,"r ii 23'","damga[~plow]N apin[plow]N","{ŋeš}da-an-ga apin",0,"damga[~plow]N_apin[plow]N"
"P332934",74,"o i 18'","ildag[poplar]N bur[spread]V/t","{ŋeš}ildag₂ bur-ra",0,"ildag[poplar]N_bur[spread]V/t"
"P273880",117,"a iv 5'","saŋkul[bolt]N","{ŋeš}saŋ-kul",0,"saŋkul[bolt]N"
"P447996",143,"r i 25","dala[thorn]N tur[small]V/i ŋešnimbar[palm]N","{ŋeš}dala₂ tur ŋešnimbar",0,"dala[thorn]N_tur[small]V/i_ŋešnimbar[palm]N"
"P271301",148,"o iii 36","ŋešnimbar[palm]N ŋal[be]V/i","{ŋeš}ŋešnimbar ŋal₂",0,"ŋešnimbar[palm]N_ŋal[be]V/i"
"Q000001",144,"144","maš[goat]N kur[mountain]N","maš₂ kur",0,"maš[goat]N_kur[mountain]N"
"P253863",8,"unknown","unknown","unknown",1,"unknown"
"Q000039",725,"653","halba[bucket]N","{ŋeš}halba₅",0,"halba[bucket]N"
"P429503",46,"o ii 15","ildag[poplar]N tur[small]V/i","{ŋeš}ildag₂ tur",0,"ildag[poplar]N_tur[small]V/i"
"P271911",181,"o iii 27'","x[NA]NA","x",0,"x[NA]NA"
"P250736",249,"r iii 10","epig[vessel]N x[NA]NA","{dug}epig x",0,"epig[vessel]N_x[NA]NA"
