reed,screen,door_thin,mat,container,sieve,basket,wash-basin,basket,,jar,mash-tub,reed_reed-strip,ax,reed,reed_exceed,reed,head_big,reed_shepherdship,branch_reed,,reeds,bond,rope,reed_mix,reed_good,bellows,implement,reed-shoot,vat,buttocks_vat,pot_water_drink,vessel,pot,breast_twin,pot_water_hot,unit,vessel,jar,pot_vine,jar,vessel,flask,pot_kill,,tureen,bowl,vessel,pipe,vessel,oven,oven,,skin,straps,chain,bag,bag,container,boots,shoe,shield,leather-object_skin_red_put,screen,goad,belt,object,shield,lid_equid,whip,binding_root,strap,hang,skin_hair_grow,swallow,metal,glass,metal,aromatics_gold,aromatics_green,lead,clay_dust_black_mountain,copper,cauldron,ax,tool,sickle,mould,,chain,key,stump,locus,bronze,barge,drum,ax,saw,needle,drum,dagger,toggle-pin,decoration,statue,ring,silver
gašam[reed]n,gisal[screen]n,ig[door]n_sal[thin]v/i,kid[mat]n,gigur[container]n,mansim[sieve]n,hal[basket]n,niŋesir[wash-basin]n,bandudu[basket]n,{gi}da-x-min₃-la₂[na]na,amam[jar]n,gakkul[mash-tub]n,gi[reed]n_girgi[reed-strip]n,durtaba[ax]n,enbar[reed]n,gi[reed]n_dirig[exceed]v/i,agir[reed]n,saŋ[head]n_gal[big]v/i,gi[reed]n_namsipad[shepherdship]n,pa[branch]n_gi[reed]n,gi-x-du[na]na,ubzal[reeds]n,dur[bond]n,niŋgilima[rope]n,gi[reed]n_hi[mix]v/t,gi[reed]n_dug[good]v/i,bun[bellows]n,umbin[implement]n,sun[reed-shoot]n,lahtan[vat]n,dur[buttocks]n_lahtan[vat]n,dug[pot]n_a[water]n_naŋ[drink]v/t,šaggig[vessel]n,dug[pot]n_x-x[na]na,ubur[breast]n_maštab[twin]n,dug[pot]n_a[water]n_kum[hot]v/i,ban[unit]n,kunrim[vessel]n,gir[jar]n,dug[pot]n_ŋeštin[vine]n,sab[jar]n,gurgur[vessel]n,šaŋan[flask]n,dug[pot]n_gaz[kill]v/t,{dug}x-im-tar[na]na,utul[tureen]n,burzi[bowl]n,epig[vessel]n,arandu[pipe]n,urrub[vessel]n,gir[oven]n,šurin[oven]n,x[na]na_kid[na]na,kuš[skin]n,lala[straps]n,šeršer[chain]n,lub[bag]n,duggan[bag]n,tun[container]n,suhub[boots]n,esir[shoe]n,guru[shield]n,šikum[leather-object]n_kuš[skin]n_su[red]v/i_sig[put]v/t,marinum[screen]n,baranše[goad]n,ibla[belt]n,dalu[object]n,kababum[shield]n,katab[lid]n_anše[equid]n,usan[whip]n,sa[binding]n_ur[root]n,saŋkešed[strap]n,{kuš}x[na]na_la[hang]v/t,kuš[skin]n_siki[hair]n_mu[grow]v/t,sim[swallow]n,anna[metal]n,anzah[glass]n,sudaŋ[metal]n,šim[aromatics]n_kugsig[gold]n,šim[aromatics]n_sissig[green]v/i,agar[lead]n,im[clay]n_sahar[dust]n_giggi[black]v/i_kur[mountain]n,urud[copper]n,šen[cauldron]n,tun[ax]n,kušedim[tool]n,kin[sickle]n,niŋdea[mould]n,urud-x-ne[na]na,šeršer[chain]n,namzaqum[key]n,mud[stump]n,ki.lugal.du[locus]n,zabar[bronze]n,magur[barge]n,ub[drum]n,hazin[ax]n,šumme[saw]n,bulug[needle]n,šem[drum]n,ŋiri[dagger]n,tuditum[toggle-pin]n,ugunu[decoration]n,alan[statue]n,šugur[ring]n,kugbabbar[silver]n
gišulhi[reed]n,NA,ig[door]n_guruš[cut]v/t,muru[mat]n,gigurda[basket]n,mansim[sieve]n_dim₃[na]na,halzig[container]n,niŋ[thing]n_kuš[skin]n_sig[put]v/t,bandudu[basket]n_sah[mat]n,gigid[reed]n,amamsab[jar]n,gakkul[mash-tub]n_abba[father]n,gi[reed]n_diš[one]nu_nindan[pole]n,dur[ax]n_bar[outside]v/t,enbar[reed]n_dug[good]v/i,gi[reed]n_pela[reed]n,agirgir[reed]n,saŋkud[pipe]n,šutug[reed-hut]n_šub[fall]v/t,ur[root]n_gi[reed]n,gi-x-gi₄-en[na]na,NA,dur[bond]n_su[na]na,x[na]na_gilim-du[na]na,niŋ[thing]n_hi[mix]v/t,gi[reed]n_zid[right]v/i,bun[bellows]n_šu[hand]n,sun[reed-shoot]n_umbin[implement]n,uš[reed]n,lahtan[vat]n_gid[long]v/i,NA,dug[pot]n_a[water]n_naŋ[drink]v/t_mah[great]v/i,šaggub[container]n,dug[pot]n_niŋ₂-x-x[na]na,ubur[breast]n_imin[seven]nu,dug[pot]n_a[water]n_sed[cold]v/i,banmin[vessel]n,tilimda[vessel]n,gir[jar]n_ga[milk]n,dug[pot]n_gibil[new]v/i,sab[jar]n_lal[syrup]n,gurgur[vessel]n_lal[syrup]n,šaŋan[flask]n_kuš[skin]n_sig[put]v/t,{dug}ga-ba-ba[na]na_sal[thin]v/i,dug[pot]n_nimur[ashes]n,utul[tureen]n_gal[big]v/i,burzi[bowl]n_še[barley]n,epig[vessel]n_gud[ox]n,arutum[pipe]n,zurzub[vessel]n,gir[oven]n_malah[sailor]n,katab[lid]n_šurin[oven]n,x[na]na_im[clay]n,kuš[skin]n_gud[ox]n,har[ring]n_lala[straps]n,har[ring]n_šeršer[chain]n,lub[bag]n_sumun[vessel]n,duggan[bag]n_kug[metal]n,tun[container]n_šuʾi[barber]n,suhub[boots]n_munus[woman]n,esir[shoe]n_munus[woman]n,guru[shield]n_da-gud[na]na,šikum[leather-object]n_kuš[skin]n_dušia[stone]n_sig[put]v/t,garig[comb]n,zagbar[scraps]n,ibla[belt]n_su[red]v/i,e[house]n_dalu[object]n,e[house]n_kababum[shield]n,gutab[collar]n_anše[equid]n,usan[whip]n_la[hang]v/t,sa[binding]n_pa[branch]n,bareda[strap]n,kuš[skin]n_arina[madder]n_gu[eat]v/t,balaŋ[instrument]n,{kuš}bar-sim[na]na,NA,anzah[glass]n_giggi[black]v/i,NA,šim[aromatics]n_arina[madder]n,šim[aromatics]n_sahar[dust]n,x[na]na_agar[lead]n,im[clay]n_sahar[dust]n_babbar[white]v/i_kur[mountain]n,urud[copper]n_niŋkalaga[strong]aj,šen[cauldron]n_kug[metal]n,tun[ax]n_sal[thin]v/i,gidim[fork]n,kin[sickle]n_gal[big]v/i,niŋsua[object]n,urud-x-ne-kin[na]na,har[ring]n_šeršer[chain]n,gag[nail]n_namzaqum[key]n,gag[nail]n_mud[stump]n,kigal[platform]n,zabaršu[mirror]n,zabar[bronze]n_hi[mix]v/t,ub[drum]n_ama[chamber]n,hazin[ax]n_arhuš[womb]n,šumme[saw]n_tur[small]v/i,bulug[needle]n_šu[hand]n,meze[drum]n,ŋiri[dagger]n_šuʾi[barber]n,kamkammatum[earring]n,ubur[breast]n_ugunu[decoration]n,šukur[lance]n,ešgur[ring]n,kugbabbar[silver]n_kalag[strong]v/i
gizi[reed]n,NA,ig[door]n_sah[mat]n,kidmašua[mat]n,gigur[container]n_ur[roof]n,mansim[sieve]n_sig[weak]v/i,hal[basket]n_kud[fish]n,buniŋ[trough]n,bandudu[basket]n_x[na]na,NA,NA,gakkul[mash-tub]n_kaš[beer]n,gi[reed]n_diš[one]nu_kuš[unit]n,durgag[ax]n_šibir[staff]n,enbar[reed]n_numun[grass]n,gi[reed]n_kalag[strong]v/i,adagir[container]n,NA,NA,suhuš[foundation]n_gi[reed]n,NA,NA,dur[bond]n_gal[big]v/i,NA,NA,gi[reed]n_ne@s-x[na]na,NA,NA,ušub[~reed]n,NA,NA,kabduga[checked]n,NA,NA,niŋdurburu[vat]n,dug[pot]n_gal[big]v/i,baneš[container]n,NA,gir[jar]n_šag[heart]n_sig[weak]v/i,NA,sab[jar]n_iŋeš[oil]n,gurgur[vessel]n_iŋeš[oil]n,NA,NA,NA,utul[tureen]n_tur[small]v/i,burzi[bowl]n_gal[big]v/i,epig[vessel]n_udu[sheep]n,apap[pipe]n_hal[divide]v/t,silim[vessel]n,gir[oven]n_ad.kid[weaver]n,kadu[cover]n_gar{im}[na]na,im[clay]n,kuš[skin]n_udu[sheep]n,murub[middle]n_lala[straps]n,murub[middle]n_šeršer[chain]n,lub[bag]n_iŋeš[oil]n,duggan[bag]n_kugan[metal]n,tun[container]n_muhaldim[cook]n,suhub[boots]n_eban[pair]n,esir[shoe]n_duh[loosen]v/t,guru[shield]n_kun[tail]n,NA,NA,NA,ibla[belt]n_gunu[speckled]v/i,dabašin[object]n,NA,igitab[blinkers]n_anše[equid]n,ka.usan₃[~whip]n,NA,daba[strap]n,kuš[skin]n_aŋarak[fluid]n_gu[eat]v/t,balaŋdi[instrument]n,ellaŋ[bead]n_kuš[skin]n,NA,anzah[glass]n_babbar[white]v/i,NA,NA,NA,NA,NA,urud[copper]n_zarin[low-quality]n,šendili[ewer]n,tun[ax]n_eme[tongue]n_sal[thin]v/i,gidim[fork]n_tur[small]v/i,kin[sickle]n_aʾašŋar[ax]n,niŋhia[alloy?]n,NA,murub[middle]n_šeršer[chain]n,NA,gag.suh[nail]n,niŋdimdima[form]n,NA,NA,NA,hazin[ax]n_gu[neck]n_tum[dove]n,NA,bulug.kin.gur₄[lancet]n,lilis[instrument]n,ŋiri[dagger]n_ad.kid[weaver]n,NA,NA,NA,har[ring]n,kugbabbar[silver]n_agar[lead]n
gi.ne[reed]n,NA,ig[door]n_ak[do]v/t,kid[mat]n_ma[ship]n_šag[heart]n,gigur[container]n_sahar[dust]n,mansim[sieve]n_niŋara[groats]n,hal[basket]n_mušen[bird]n,buniŋ[trough]n_sah[mat]n,bandudu[basket]n_zu[tooth]n_kešed[bind]v/t,NA,NA,NA,gi[reed]n_sa[half]n_kuš[unit]n,dur[ax]n_lu[person]n_gid[long]v/i,gug[grass]n,al.pi.na[reed-fence]n,gi[reed]n_gal[big]v/i,NA,NA,NA,NA,NA,dur[bond]n_sig[weak]v/i,NA,NA,{gi}x-x[na]na,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sab[jar]n_inun[ghee]n,gurgur[vessel]n_inun[ghee]n,NA,NA,NA,utul[tureen]n_na[stone]n,burzi[bowl]n_tur[small]v/i,epig[vessel]n_šah[pig]n,apap[pipe]n,sila[unit]n_gar[na]na,NA,NA,im[clay]n_su[red]v/i,kuš[skin]n_gukkal[sheep]n,NA,NA,NA,duggan[bag]n_mun[salt]v/i,tun[container]n_azu[doctor]n,NA,esir[shoe]n_eban[pair]n,guru[shield]n_huduš[status]n,NA,NA,NA,{kuš}x[na]na_gunu[speckled]v/i,e[house]n_dabašin[object]n,NA,kiritab[bridle]n_anše[equid]n,amaʾusan[~whip]n,NA,asi[strap]n,kuš[skin]n_hi[mix]v/t,ala[drum]n,NA,NA,NA,NA,NA,NA,NA,NA,urud[copper]n_luh[clean]v/t,šen[cauldron]n_utul[tureen]n,aga[ax]n,NA,NA,niŋgida[rod?]n,NA,NA,NA,NA,NA,NA,NA,NA,hazin[ax]n_gu[neck]n_bir[locust]n,NA,bulug[needle]n_harran[tool]n,NA,ŋiri[dagger]n_ašgab[leatherworker]n,NA,NA,NA,har[ring]n_šu[hand]n,kugbabbar[silver]n_utud[bear]v/t
gi[reed]n_bar[burn]v/t,NA,NA,kid[mat]n_ma[ship]n_šag[heart]n_niŋin[encircle]v/t,gigur[container]n_nisig[greenery]n,mansim[sieve]n_niŋmurgu[fodder]n,hal[basket]n_uzu[flesh]n,buniŋ[trough]n_zulum[date]n,bandudu[basket]n_x-ra[na]na,NA,NA,NA,gi[reed]n_šušana[fraction]n_kuš[unit]n,NA,kun[tail]n_gug[grass]n,gi[reed]n_pad[break]v/t,gi[reed]n_niŋ[thing]n_gal[big]v/i,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sab[jar]n_i[oil]n_saŋ[head]n,gurgur[vessel]n_i[oil]n_saŋ[head]n,NA,NA,NA,utul[tureen]n_gub[stand]v/i,burzi[bowl]n_sila[unit]n_banda[junior]v/i,NA,NA,sila[unit]n_gaz[kill]v/t,NA,NA,im[clay]n_sissig[green]v/i,kuš[skin]n_maš[goat]n,NA,NA,NA,duggan[bag]n_naŋa[potash]n,tun[container]n_gidubak[stylus]n,NA,NA,guru[shield]n_siki[hair]n_zid[right]v/i,NA,NA,NA,NA,hululum[object]n,NA,NA,NA,NA,asi[strap]n_gal[big]v/i,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,šen[cauldron]n_zahum[basin]n,aga.dun₃@g.ma[ax]n,NA,NA,niŋul[everlasting]n_tag[touch]v/t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,bulug[needle]n_gigir[chariot]n,NA,ŋiri[dagger]n_gi[reed]n_zu[tooth]n,NA,NA,NA,har[ring]n_ŋiri[foot]n,kugbabbar[silver]n_gurum[inspection]n_ak[do]v/t
NA,NA,NA,kid[mat]n_si[horn]n_ma[ship]n,gigur[container]n_šagha[cloth]n,mansim[sieve]n_il[raise]v/t,gihan[basket]n,buniŋ[trough]n_lu[person]n_im[run]v/i,NA,NA,NA,NA,gi[reed]n_šanabi[two-thirds]n_kuš[unit]n,NA,NA,gi[reed]n_ša[snap]v/t,gi[reed]n_tur[small]v/i,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sab[jar]n_i[oil]n_šah[pig]n,gurgur[vessel]n_i[oil]n_šah[pig]n,NA,NA,NA,NA,burzi[bowl]n_mud[blood]n,NA,NA,udun[kiln]n,NA,NA,im[clay]n_zid[right]v/i,kuš[skin]n_uzud[goat]n,NA,NA,NA,duggan[bag]n_gazi[condiment]n,NA,NA,NA,guru[shield]n_ur[roof]n,NA,NA,NA,NA,e[house]n_hululum[object]n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,šen[cauldron]n_zir[slip]n,agasilig[ax]n,NA,NA,niŋdim[object]n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,bulug[needle]n_šu[hand]n_sud₂-a{zabar}[na]na,NA,ŋiri[dagger]n_sumun[old]v/i,NA,NA,NA,har[ring]n_gal[big]v/i,kugbabbar[silver]n_pad[break]v/t
NA,NA,NA,kid[mat]n_uru-di[na]na,gigur[container]n_šag[heart]n_rah[beat]v/t,NA,gihan[basket]n_siki[hair]n,buniŋ[trough]n_lu₂[na]na_ra[na]na,NA,NA,NA,NA,NA,NA,NA,gi[reed]n_ak[do]v/t,gi[reed]n_niŋ[thing]n_tur[small]v/i,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sab[jar]n_i[oil]n_dug[good]v/i,gurgur[vessel]n_i[oil]n_dug[good]v/i,NA,NA,NA,NA,burzi[bowl]n_utu[~cereal]n,NA,NA,udun[kiln]n_še[barley]n_sa[roast]v/t,NA,NA,im[clay]n_babbar[white]v/i,kuš[skin]n_ašgar[kid]n,NA,NA,NA,duggan[bag]n_zid[flour]n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,zir[slip]n_ŋar[place]v/t,aga[ax]n_aʾašŋar[ax]n,NA,NA,niŋdimdima[form]n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ŋiri[dagger]n_ur[root]n,NA,NA,NA,har[ring]n_ib[hips]n,tuditum[toggle-pin]n_kugbabbar[silver]n
NA,NA,NA,kid[mat]n_di-uru[na]na,gigur[container]n_x[na]na,NA,gihan[basket]n_mušen[bird]n,buniŋ[trough]n_pel[defile]v/t,NA,NA,NA,NA,NA,NA,NA,gi[reed]n_šu[hand]n_ak[do]v/t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burzi[bowl]n_niŋna[incense]n,NA,NA,udun[kiln]n_bappir[~beer]n,NA,NA,im[clay]n_giggi[black]v/i,kuš[skin]n_am[bull]n,NA,NA,NA,duggan[bag]n_gidubak[stylus]n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,niŋdim[object]n_gul[destroy]v/t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ŋiri[dagger]n_gud[ox]n_gaz[kill]v/t,NA,NA,NA,NA,kamkammatum[earring]n_kugbabbar[silver]n
NA,NA,NA,kid[mat]n_ašrinna[object]n,gi.gur.du[basket]n,NA,gihan[basket]n_kud[fish]n,buniŋ[trough]n_igidu[gift]n,NA,NA,NA,NA,NA,NA,NA,gibil[firewood]n_ak[do]v/t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burzi[bowl]n_nindaʾidea[bread]n,NA,NA,udun[kiln]n_mah[great]v/i,NA,NA,im[clay]n_kal[rare]v/i,kuš[skin]n_amsi[elephant]n,NA,NA,NA,niŋna[bag]n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,niŋ[thing]n_izi[fire]n_sig[cast]v/t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ŋiri[dagger]n_zu[tooth]n_x{zabar}[na]na,NA,NA,NA,NA,ašme[radiance]n_kugbabbar[silver]n
