line_a,line_b,overlap,kmer,k,section
udu[sheep]n_niga[fattened]v/i,udu[sheep]n_niga[fattened]v/i_sag[rare]v/i,4,fattened,8,1
udu[sheep]n_niga[fattened]v/i_sag[rare]v/i,udu[sheep]n_niga[fattened]v/i_ŋirgul[~wool]n,4,fattened,8,1
udu[sheep]n_niga[fattened]v/i_ŋirgul[~wool]n,udu[sheep]n_nita[male]n,2,sheep,5,1
udu[sheep]n_nita[male]n,udu[sheep]n_nita[male]n_ŋešdu[breeder]n,4,sheep,5,1
udu[sheep]n_nita[male]n_ŋešdu[breeder]n,udu[sheep]n_u[grass]n,2,sheep,5,1
udu[sheep]n_u[grass]n,udu[sheep]n_utuwa[stud]n,2,sheep,5,1
udu[sheep]n_utuwa[stud]n,udu[sheep]n_aslum[sheep]n,2,sheep,5,1
udu[sheep]n_aslum[sheep]n,udu[sheep]n_aslum[sheep]n_niga[fattened]v/i,4,sheep,5,1
udu[sheep]n_aslum[sheep]n_niga[fattened]v/i,udu[sheep]n_aslum[sheep]n_niga[fattened]v/i_sag[rare]v/i,6,fattened,8,1
udu[sheep]n_aslum[sheep]n_niga[fattened]v/i_sag[rare]v/i,udu[sheep]n_aslum[sheep]n_gukkal[sheep]n,4,sheep,5,1
udu[sheep]n_aslum[sheep]n_gukkal[sheep]n,udu[sheep]n_gukkal[sheep]n,5,gukkal,6,1
udu[sheep]n_gukkal[sheep]n,udu[sheep]n_gukkal[sheep]n_niga[fattened]v/i,4,gukkal,6,1
udu[sheep]n_gukkal[sheep]n_niga[fattened]v/i,udu[sheep]n_gukkal[sheep]n_niga[fattened]v/i_sag[rare]v/i,6,fattened,8,1
udu[sheep]n_gukkal[sheep]n_niga[fattened]v/i_sag[rare]v/i,udu[sheep]n_gukkal[sheep]n_ib[hips]n_la[hang]v/t,4,gukkal,6,1
udu[sheep]n_gukkal[sheep]n_ib[hips]n_la[hang]v/t,udu[sheep]n_tu[sheep]n,3,sheep,5,1
udu[sheep]n_tu[sheep]n,udu[sheep]n_ad[crippled]v/i,3,sheep,5,1
udu[sheep]n_ad[crippled]v/i,udu[sheep]n_kudkudra[disabled]n,2,sheep,5,1
udu[sheep]n_kudkudra[disabled]n,udu[sheep]n_deg[collect]v/t,2,sheep,5,1
udu[sheep]n_deg[collect]v/t,udu[sheep]n_na[cvne]n_deg[collect]v/t,4,collect,7,1
udu[sheep]n_na[cvne]n_deg[collect]v/t,udu[sheep]n_kur[mountain]n,2,sheep,5,1
udu[sheep]n_kur[mountain]n,udu[sheep]n_hi.gina[unmng]n,2,sheep,5,1
udu[sheep]n_hi.gina[unmng]n,udu[sheep]n_diŋir[deity]n_gu[eat]v/t,2,sheep,5,1
udu[sheep]n_diŋir[deity]n_gu[eat]v/t,udu[sheep]n_urmah[lion]n_gu[eat]v/t,4,sheep,5,1
udu[sheep]n_urmah[lion]n_gu[eat]v/t,udu[sheep]n_urbara[wolf]n_gu[eat]v/t,4,sheep,5,1
udu[sheep]n_urbara[wolf]n_gu[eat]v/t,udu[sheep]n_šurum[litter]n,2,sheep,5,1
udu[sheep]n_šurum[litter]n,udu[sheep]n_gag[pock]n_šub[fall]v/t,2,sheep,5,1
udu[sheep]n_gag[pock]n_šub[fall]v/t,udu[sheep]n_mur[lung]n_šub[fall]v/t,4,sheep,5,1
