line_a,line_b,overlap,kmer,k,section
gašam[reed]n,gišulhi[reed]n,1,reed,4,1
gišulhi[reed]n,gizi[reed]n,1,reed,4,1
gizi[reed]n,gi.ne[reed]n,1,reed,4,1
gi.ne[reed]n,gi[reed]n_bar[burn]v/t,1,reed,4,1
gi[reed]n_bar[burn]v/t,giʾizila[torch]n,0,gi,2,NA
giʾizila[torch]n,gisal[screen]n,0,gi,2,NA
gisal[screen]n,gisal[screen]n,2,screen,6,2
gisal[screen]n,gi-x-ig[na]na,0,gi,2,NA
gi-x-ig[na]na,ig[door]n_sal[thin]v/i,0,ig,2,NA
ig[door]n_sal[thin]v/i,ig[door]n_guruš[cut]v/t,2,door,4,3
ig[door]n_guruš[cut]v/t,ig[door]n_sah[mat]n,2,door,4,3
ig[door]n_sah[mat]n,ig[door]n_ak[do]v/t,2,door,4,3
ig[door]n_ak[do]v/t,kid[mat]n,0,i,1,NA
kid[mat]n,muru[mat]n,1,mat,3,4
muru[mat]n,kidmašua[mat]n,1,mat,3,4
kidmašua[mat]n,kid[mat]n_ma[ship]n_šag[heart]n,1,mat,3,4
kid[mat]n_ma[ship]n_šag[heart]n,kid[mat]n_ma[ship]n_šag[heart]n_niŋin[encircle]v/t,6,heart,5,4
kid[mat]n_ma[ship]n_šag[heart]n_niŋin[encircle]v/t,kid[mat]n_si[horn]n_ma[ship]n,4,ship,4,4
kid[mat]n_si[horn]n_ma[ship]n,kid[mat]n_uru-di[na]na,2,mat,3,4
kid[mat]n_uru-di[na]na,kid[mat]n_di-uru[na]na,2,mat,3,4
kid[mat]n_di-uru[na]na,kid[mat]n_ašrinna[object]n,2,mat,3,4
kid[mat]n_ašrinna[object]n,kid[mat]n_andul[shade]n,2,mat,3,4
kid[mat]n_andul[shade]n,kid[mat]n_antadul[cloak]n,2,mat,3,4
kid[mat]n_antadul[cloak]n,kid[mat]n_titab[~beer]n,2,mat,3,4
kid[mat]n_titab[~beer]n,kid[mat]n_kuš[skin]n_sig[put]v/t,2,mat,3,4
kid[mat]n_kuš[skin]n_sig[put]v/t,kid[mat]n_kaš[beer]n,2,mat,3,4
kid[mat]n_kaš[beer]n,kid[mat]n_dida[wort]n_hi[mix]v/t,2,mat,3,4
kid[mat]n_dida[wort]n_hi[mix]v/t,gigur[container]n,0,t,1,NA
gigur[container]n,gigurda[basket]n,0,gigur,5,5
gigurda[basket]n,gigurda[basket]n,2,gigurda,7,5
gigurda[basket]n,gigur[container]n_ur[roof]n,0,gigur,5,5
