line_a,line_b,overlap,kmer,k,section
kagina[stone]n,kišib[seal]n_kagina[stone]n,2,kagina,6,1
kišib[seal]n_kagina[stone]n,lagab[block]n_kagina[stone]n,2,kagina,6,1
lagab[block]n_kagina[stone]n,esi[diorite]n,0,o,1,NA
esi[diorite]n,ŋešnugal[alabaster]n,0,te,2,NA
ŋešnugal[alabaster]n,kišib[seal]n_ŋešnugal[alabaster]n,2,alabaster,9,2
kišib[seal]n_ŋešnugal[alabaster]n,lagab[block]n_ŋešnugal[alabaster]n,2,alabaster,9,2
lagab[block]n_ŋešnugal[alabaster]n,ašuba[stone]n,0,st,2,NA
ašuba[stone]n,kišib[seal]n_ašuba[stone]n,2,stone,5,3
kišib[seal]n_ašuba[stone]n,lagab[block]n_ašuba[stone]n,2,stone,5,3
lagab[block]n_ašuba[stone]n,algameš[stone]n,1,stone,5,3
algameš[stone]n,kišib[seal]n_algameš[stone]n,2,algameš,7,3
kišib[seal]n_algameš[stone]n,lagab[block]n_algameš[stone]n,2,algameš,7,3
lagab[block]n_algameš[stone]n,dušia[stone]n,1,stone,5,3
dušia[stone]n,kišib[seal]n_dušia[stone]n,2,stone,5,3
kišib[seal]n_dušia[stone]n,lagab[block]n_dušia[stone]n,2,stone,5,3
lagab[block]n_dušia[stone]n,ellaŋ[bead]n_dušia[stone]n,2,stone,5,3
ellaŋ[bead]n_dušia[stone]n,daggaz[block]n_dušia[stone]n,2,stone,5,3
daggaz[block]n_dušia[stone]n,dušia[stone]n_marhaši[1]gn,2,stone,5,3
dušia[stone]n_marhaši[1]gn,zagin[lapis]n,0,s,1,NA
zagin[lapis]n,zaginduru[lapis]n,1,lapis,5,4
zaginduru[lapis]n,zagin[lapis]n_ŋešdili[string-of-beads]n,1,lapis,5,4
zagin[lapis]n_ŋešdili[string-of-beads]n,zagin[lapis]n_zala[smashed]n,2,lapis,5,4
zagin[lapis]n_zala[smashed]n,zagin[lapis]n_gu[neck]n_tum[dove]n,2,lapis,5,4
zagin[lapis]n_gu[neck]n_tum[dove]n,zagin[lapis]n_gu[neck]n_bir[locust]n,4,lapis,5,4
zagin[lapis]n_gu[neck]n_bir[locust]n,zagin[lapis]n_lub[turnip]n,2,lapis,5,4
zagin[lapis]n_lub[turnip]n,ad[bead]n_zagin[lapis]n,2,lapis,5,4
ad[bead]n_zagin[lapis]n,ad[bead]n_gu[neck]n_zagin[lapis]n,4,lapis,5,4
ad[bead]n_gu[neck]n_zagin[lapis]n,adtab[~harness]n_zagin[lapis]n,2,lapis,5,4
adtab[~harness]n_zagin[lapis]n,niŋtag[cut]n_zagin[lapis]n,2,lapis,5,4
